,title,year,imdbID,actor,actress,cinematography,costume,director,editing,effects,music,picture,s_actor,s_actress,screenplay,song,sound
266,flight of the lost balloon,1961,tt0054883,O,O,O,O,O,O,O,O,O,O,O,O,O,O
267,flower drum song,1961,tt0054885,O,O,N,N,O,O,O,N,O,O,O,O,O,N
268,force of impulse,1961,tt0132974,O,O,O,O,O,O,O,O,O,O,O,O,O,O
269,francis of assisi,1961,tt0054892,O,O,O,O,O,O,O,O,O,O,O,O,O,O
270,frontier uprising,1961,tt0054899,O,O,O,O,O,O,O,O,O,O,O,O,O,O
271,the gambler wore a gun,1961,tt0054909,O,O,O,O,O,O,O,O,O,O,O,O,O,O
272,the george raft story,1961,tt0054918,O,O,O,O,O,O,O,O,O,O,O,O,O,O
273,gidget goes hawaiian,1961,tt0054923,O,O,O,O,O,O,O,O,O,O,O,O,O,O
274,gidget,1961,tt0054923,O,O,O,O,O,O,O,O,O,O,O,O,O,O
275,go naked in the world,1961,tt0054933,O,O,O,O,O,O,O,O,O,O,O,O,O,O
276,gold of the seven saints,1961,tt0054934,O,O,O,O,O,O,O,O,O,O,O,O,O,O
277,goodbye again,1961,tt0054936,O,O,O,O,O,O,O,O,O,O,O,O,O,O
278,greyfriars bobby,1961,tt0054944,O,O,O,O,O,O,O,O,O,O,O,O,O,O
279,gun fight,1961,tt0054951,O,O,O,O,O,O,O,O,O,O,O,O,O,O
280,gun street,1961,tt0056043,O,O,O,O,O,O,O,O,O,O,O,O,O,O
281,the happy thieves,1961,tt0056057,O,O,O,O,O,O,O,O,O,O,O,O,O,O
282,hercules in the haunted world,1961,tt0054850,O,O,O,O,O,O,O,O,O,O,O,O,O,O
283,"hey, let's twist!",1961,tt0054971,O,O,O,O,O,O,O,O,O,O,O,O,O,O
284,homicidal,1961,tt0054988,O,O,O,O,O,O,O,O,O,O,O,O,O,O
285,the honeymoon machine,1961,tt0054989,O,O,O,O,O,O,O,O,O,O,O,O,O,O
286,hoodlum priest,1961,tt0054991,O,O,O,O,O,O,O,O,O,O,O,O,O,O
287,the hustler,1961,tt0054997,N,N,W,O,N,O,O,O,N,N,O,N,O,O
288,judgment at nuremberg,1961,tt0055031,WN,O,N,N,N,N,O,O,N,N,N,W,O,O
289,king of kings,1961,tt0055047,O,O,O,O,O,O,O,O,O,O,O,O,O,O
290,the ladies man,1961,tt0055069,O,O,O,O,O,O,O,O,O,O,O,O,O,O
291,the last sunset,1961,tt0055073,O,O,O,O,O,O,O,O,O,O,O,O,O,O
292,the last time i saw archie,1961,tt0055074,O,O,O,O,O,O,O,O,O,O,O,O,O,O
293,the lawbreakers,1961,tt0140320,O,O,O,O,O,O,O,O,O,O,O,O,O,O
294,the little shepherd of kingdom come,1961,tt0055091,O,O,O,O,O,O,O,O,O,O,O,O,O,O
